subject_id,name,department_id
1,Python,
2,"Алгебра логики, комбинаторика, теория графов",
3,Алгоритмы и модели вычислений,
4,Алгоритмы и структуры данных,
5,Аналитическая геометрия и линейная алгебра,
6,Аналитическая химия,
7,Английский язык,
8,Арабская культура сквозь призму арабского языка,
9,Аэродинамические трубы,
10,Базы данных,
11,Безопасность жизнедеятельности,
12,Введение в механику сплошных сред,
13,Визуализация,
14,Вычислительная математика,
15,Глобальная культурная альтернатива: Восток — Запад,
16,Дискретная математика,
17,Дискретный анализ,
18,Дифференциальные уравнения,
19,Защита информации,
20,Импульсные цифровые устройства,
21,Инструменты разработчика,
22,Информатика,
23,Информационно-измерительные системы,
24,Испанский язык,
25,История России,
26,История России в IX-XVII веках,
27,Китайский язык,
28,"Колебания, Волны, Устойчивость",
29,Компьютерный дизайн лекарственных средств,
30,Краевые задачи вычислительной аэрогидромеханики,
31,Математическая логика и теория алгоритмов,
32,Математическая статистика,
33,Математическая статистика и вероятностные процессы,
34,Математические основания алгоритмов и сложность вычислений,
35,Математический анализ,
36,Математическое моделирование вычислительных систем,
37,Методы и средства оптико-физических исследований,
38,Методы конечного элемента высокого порядка точности с разрывными базисными функциями...,
39,Методы моделирования в молекулярной физике,
40,Методы Монте-Карло решения задач...,
41,Методы оптимизации,
42,Методы программирования в моделировании физических процессов,
43,Методы прямого численного моделирования (Direct Numerical Simulation) в задачах сверхзвуковой аэротермодинамики на основе методов TVD,
44,"Методы решения уравнений Навье-Стокса, осредненных по Рейнольдсу в задачах аэродинамики летательных аппаратов и двигателей",
45,"Мифология, наука и культура",
46,"Нейросетевые технологии в задачах аэродинамического расчета, проектирования и оптимизации",
47,Немецкий язык,
48,Низкодиссипативные методы решения уравнений газовой динамики,
49,Обработка нечисловой информации. Управление знаниями. Когнитивная информатика,
50,Общая и неорганическая химия,
51,Общая физика,
52,Общая физика: лабораторный практикум,
53,Общая химия,
54,Органическая химия,
55,Основные алгоритмы,
56,Основы высшей алгебры и теории кодирования,
57,Основы инженерного проектирования,
58,Основы инженерной подготовки,
59,Основы комбинаторики и теории чисел,
60,Основы общеинженерной подготовки,
61,Основы прочности летательных аппаратов,
62,Основы САПР датчиков,
63,Основы современной физики,
64,Основы схемотехники информационно-измерительных систем,
65,Отечественная история,
66,Полупроводниковые приборы,
67,Практика программирования с использованием С++,
68,Практикум по вычислительной теплофизике,
69,Практическая психология,
70,Прикладные физико-технические и компьютерные методы исследования (ПФТКМИ),
71,Программирование на языке С++,
72,Программные комплексы механики жидкости и газа,
73,Радиотехника,
74,Религия и наука: христианская апологетика,
75,Риторика и театральное мастерство,
76,Сложность вычислений,
77,Случайные процессы,
78,Статистическая физика,
79,Стохастические процессы,
80,Страноведение Китая: история и современность,
81,ТАУ,
82,Теоретическая и аналитическая механика,
83,Теоретическая механика,
84,Теоретическая физика,
85,Теория автоматического управления,
86,Теория вероятностей,
87,Теория и практика многопоточной синхронизации,
88,Теория и реализация языков программирования,
89,Теория информации,
90,Теория оптимального планирования эксперимента,
91,Теория поля,
92,Теория формальных систем и алгоритмов,
93,Теория функций комплексного переменного,
94,Техника и методика аэродинамического эксперимента,
95,Техника и методика аэрофизического эксперимента,
96,Технологии аэрогидродинамического и физического моделирования на основе прикладных программных продуктов,
97,Технологии программирования,
98,Тренировка памяти,
99,Уравнения математической физики,
100,Физика прочности,
101,Физическая механика,
102,Физические основы дистанционного зондирования,
103,Физические основы эксперимента в промышленных аэродинамических трубах,
104,Физическое воспитание (атлетическая гимнастика),
105,Физическое воспитание (баскетбол),
106,Физическое воспитание (легкая атлетика),
107,Физическое воспитание (лыжные гонки),
108,Физическое воспитание (общая физическая подготовка),
109,Физическое воспитание (ОФП - женская группа),
110,Физическое воспитание (плавание),
111,Физическое воспитание (специальная медицинская группа),
112,Физическое воспитание (футбол),
113,Философия,
114,Формальные языки и трансляции,
115,Французский язык,
116,Функциональный анализ,
117,Цифровая обработка сигналов,
118,Экология,
119,Экономика,
120,Языки программирования и теория компиляции,
